timestamp,change,NI,EI,SI,WI,NO,EO,SO,WO,N_TL,E_TL,S_TL,W_TL
1185.0,0.0,0.05208333333333333,0.03472222222222222,0.05208333333333333,0.057870370370370364,0.0,0.11682242990654207,0.023364485981308414,0.11682242990654207,0.0,0.0,0.0,1.0
1188.0,1.0,0.05208333333333333,0.03472222222222222,0.05208333333333333,0.057870370370370364,0.0,0.11682242990654207,0.023364485981308414,0.11682242990654207,0.0,0.0,0.0,1.0
1191.0,0.0,0.05208333333333333,0.03472222222222222,0.05208333333333333,0.057870370370370364,0.0,0.11682242990654207,0.023364485981308414,0.11682242990654207,0.0,0.0,0.0,1.0
1194.0,0.0,0.05208333333333333,0.03472222222222222,0.057870370370370364,0.057870370370370364,0.0,0.11682242990654207,0.023364485981308414,0.11682242990654207,0.0,0.0,0.0,1.0
1197.0,0.0,0.05208333333333333,0.04050925925925926,0.057870370370370364,0.057870370370370364,0.0,0.11682242990654207,0.023364485981308414,0.11682242990654207,0.0,0.0,0.0,1.0
1200.0,1.0,0.05208333333333333,0.04050925925925926,0.0636574074074074,0.057870370370370364,0.0,0.11682242990654207,0.023364485981308414,0.11682242990654207,0.0,0.0,0.0,1.0
1203.0,0.0,0.057870370370370364,0.04050925925925926,0.0636574074074074,0.057870370370370364,0.0,0.09345794392523366,0.0,0.09345794392523366,0.0,0.0,0.0,1.0
1206.0,0.0,0.057870370370370364,0.046296296296296294,0.0636574074074074,0.057870370370370364,0.0,0.09345794392523366,0.0,0.09345794392523366,0.0,0.0,0.0,1.0
1209.0,0.0,0.057870370370370364,0.046296296296296294,0.0636574074074074,0.05208333333333333,0.0,0.07009345794392524,0.0,0.07009345794392524,0.0,0.0,0.0,1.0
1212.0,1.0,0.057870370370370364,0.046296296296296294,0.0636574074074074,0.057870370370370364,0.0,0.04672897196261683,0.0,0.04672897196261683,1.0,0.0,0.0,0.0
1215.0,0.0,0.05208333333333333,0.046296296296296294,0.0636574074074074,0.057870370370370364,0.0,0.04672897196261683,0.0,0.0,1.0,0.0,0.0,0.0
1218.0,0.0,0.046296296296296294,0.046296296296296294,0.06944444444444443,0.0636574074074074,0.0,0.023364485981308414,0.0,0.0,1.0,0.0,0.0,0.0
1221.0,0.0,0.05208333333333333,0.046296296296296294,0.07523148148148148,0.0636574074074074,0.0,0.0,0.023364485981308414,0.0,1.0,0.0,0.0,0.0
1224.0,1.0,0.04050925925925926,0.046296296296296294,0.07523148148148148,0.0636574074074074,0.0,0.0,0.07009345794392524,0.0,0.0,0.0,1.0,0.0
1227.0,0.0,0.04050925925925926,0.046296296296296294,0.07523148148148148,0.0636574074074074,0.0,0.0,0.07009345794392524,0.0,0.0,0.0,1.0,0.0
1230.0,0.0,0.04050925925925926,0.05208333333333333,0.06944444444444443,0.0636574074074074,0.0,0.023364485981308414,0.023364485981308414,0.0,0.0,0.0,1.0,0.0
1233.0,0.0,0.04050925925925926,0.05208333333333333,0.0636574074074074,0.0636574074074074,0.023364485981308414,0.023364485981308414,0.0,0.0,0.0,0.0,1.0,0.0
1236.0,1.0,0.04050925925925926,0.057870370370370364,0.0636574074074074,0.0636574074074074,0.04672897196261683,0.023364485981308414,0.0,0.0,0.0,0.0,0.0,1.0
1239.0,0.0,0.04050925925925926,0.057870370370370364,0.0636574074074074,0.057870370370370364,0.023364485981308414,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1242.0,0.0,0.04050925925925926,0.057870370370370364,0.0636574074074074,0.057870370370370364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1245.0,0.0,0.04050925925925926,0.0636574074074074,0.0636574074074074,0.05208333333333333,0.0,0.023364485981308414,0.0,0.0,0.0,0.0,0.0,1.0
